84,990,567.44,1152.27,10.00,10.00
84,985,564.50,1180.26,10.00,10.00
84,770,1104.75,1234.62,10.00,10.00
84,684,1130.21,1235.49,10.00,10.00
85,1102,459.80,1196.86,10.00,10.00
85,1054,565.77,1126.06,10.00,10.00
85,990,562.91,1152.73,10.00,10.00
85,985,559.78,1182.68,10.00,10.00
85,684,1125.13,1238.29,10.00,10.00
86,1102,460.46,1195.17,10.00,10.00
86,1054,561.55,1125.89,10.00,10.00
86,990,558.37,1153.59,10.00,10.00
86,684,1120.28,1241.07,10.00,10.00
87,1102,462.74,1193.80,10.00,10.00
87,1054,557.44,1125.83,10.00,10.00
87,990,553.77,1155.34,10.00,10.00
87,684,1114.82,1243.57,10.00,10.00
88,1102,466.01,1192.42,10.00,10.00
88,1054,553.21,1126.64,10.00,10.00
88,990,548.87,1158.41,10.00,10.00
88,770,1084.13,1244.77,10.00,10.00
88,684,1109.72,1246.42,10.00,10.00
89,1172,319.83,1173.81,10.00,10.00
89,1054,548.76,1128.35,10.00,10.00
89,990,543.73,1161.93,10.00,10.00
89,770,1078.73,1247.22,10.00,10.00
89,684,1104.27,1249.27,10.00,10.00
90,1215,565.44,1197.86,10.00,10.00
90,1054,544.00,1130.93,10.00,10.00
90,684,1098.88,1251.64,10.00,10.00
91,1215,572.31,1197.91,10.00,10.00
91,684,1093.39,1254.17,10.00,10.00
92,1215,580.40,1198.06,10.00,10.00
92,684,1088.09,1256.78,10.00,10.00
93,1215,589.42,1198.60,10.00,10.00
93,770,1057.65,1256.74,10.00,10.00
93,684,1082.42,1259.24,10.00,10.00
94,1215,599.70,1199.34,10.00,10.00
94,770,1052.44,1259.01,10.00,10.00
94,684,1076.93,1261.59,10.00,10.00
95,1323,1016.32,1256.91,10.00,10.00
95,770,1046.69,1261.25,10.00,10.00
95,684,1071.49,1263.79,10.00,10.00
96,1351,287.86,1150.61,10.00,10.00
96,1323,1011.16,1258.87,10.00,10.00
96,770,1041.34,1263.45,10.00,10.00
96,684,1066.02,1266.25,10.00,10.00
97,1323,1005.73,1260.78,10.00,10.00
97,770,1036.03,1265.67,10.00,10.00
97,684,1060.59,1268.48,10.00,10.00
98,1384,503.24,1152.51,10.00,10.00
98,1323,1000.56,1262.75,10.00,10.00
98,770,1030.51,1267.68,10.00,10.00
98,684,1054.85,1270.80,10.00,10.00
99,1384,498.66,1151.73,10.00,10.00
99,1323,995.03,1264.65,10.00,10.00
99,770,1025.26,1269.81,10.00,10.00
99,684,1048.93,1273.12,10.00,10.00
100,1435,501.25,1124.93,10.00,10.00
100,1384,494.07,1151.16,10.00,10.00
100,1323,989.32,1266.32,10.00,10.00
100,770,1019.60,1271.70,10.00,10.00
100,684,1044.00,1275.53,10.00,10.00
101,1435,496.90,1124.17,10.00,10.00
101,1384,489.75,1149.74,10.00,10.00
101,1323,983.57,1268.10,10.00,10.00
101,770,1013.91,1273.82,10.00,10.00
101,684,1038.77,1277.61,10.00,10.00
102,1491,256.34,1127.38,10.00,10.00
102,1489,500.23,1097.71,10.00,10.00
102,1435,492.67,1123.33,10.00,10.00
102,1384,485.31,1148.49,10.00,10.00
102,1323,978.37,1269.92,10.00,10.00
102,770,1008.29,1275.69,10.00,10.00
102,684,1032.88,1279.60,10.00,10.00
103,1491,260.50,1125.76,10.00,10.00
103,1489,496.09,1097.63,10.00,10.00
103,1435,488.49,1122.21,10.00,10.00
103,1384,480.76,1147.61,10.00,10.00
103,1323,972.60,1271.50,10.00,10.00
103,770,1002.57,1277.44,10.00,10.00
104,1489,492.18,1096.73,10.00,10.00
104,1435,484.18,1121.15,10.00,10.00
104,1384,475.90,1147.34,10.00,10.00
104,1323,967.07,1273.05,10.00,10.00
104,770,997.17,1279.43,10.00,10.00
105,1534,374.15,1150.27,10.00,10.00
105,1489,488.16,1095.81,10.00,10.00
105,1435,479.80,1120.63,10.00,10.00
105,1384,470.47,1147.96,10.00,10.00
105,1323,961.54,1274.74,10.00,10.00
105,770,991.44,1281.14,10.00,10.00
106,1534,371.41,1149.29,10.00,10.00
106,1489,484.11,1094.87,10.00,10.00
106,1435,475.17,1120.50,10.00,10.00
106,1384,463.53,1148.74,10.00,10.00
